Change Component DesignItemId : Designator=C20 Old DesignItemId=Cap Pol1 New DesignItemId=Cap Pol3
Change Component Footprint: Designator=C20 Old Footprint=3225[1210] New Footprint=CAP A-3216
Change Component Comment : Designator=C85 Old Comment=Cap New Comment=0.1uF
Change Component Comment : Designator=C86 Old Comment=Cap New Comment=0.1uF
Change Component Comment : Designator=C87 Old Comment=Cap New Comment=0.1uF
Change Component Comment : Designator=C81 Old Comment=Cap New Comment=10uF
Change Component Comment : Designator=C82 Old Comment=Cap New Comment=10uF
Change Component Comment : Designator=C23 Old Comment=Cap New Comment=20pF
Change Component Comment : Designator=C24 Old Comment=Cap New Comment=20pF
Change Component Comment : Designator=C20 Old Comment=Cap Pol1 New Comment=10uF/16V(106C)
Change Component Comment : Designator=C14 Old Comment=Cap Pol3 New Comment=10uF/16V(106C)
Change Component Comment : Designator=C16 Old Comment=Cap Pol3 New Comment=10uF/16V(106C)
Change Component Comment : Designator=C22 Old Comment=Cap Pol3 New Comment=10uF/16V(106C)
Change Component Comment : Designator=R84 Old Comment=Res2 New Comment=1K
Change Component Comment : Designator=R87 Old Comment=Res2 New Comment=1K
Change Component Comment : Designator=R114 Old Comment=Res2 New Comment=1K
Change Component Comment : Designator=R92 Old Comment=Res2 New Comment=1M
Change Component Comment : Designator=R29 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R30 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R31 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R32 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R38 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R40 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R42 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R44 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R53 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R54 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R55 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R56 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R61 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R62 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R65 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R66 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R86 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R88 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R112 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R113 Old Comment=Res2 New Comment=2.2K
Change Component Comment : Designator=R18 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R19 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R20 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R23 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R24 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R25 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R34 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R35 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R36 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R41 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R43 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R48 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R49 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R50 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R51 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R52 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R58 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R59 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R60 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R64 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R67 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R68 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R70 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R71 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R72 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R74 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R75 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R76 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R78 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R79 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R80 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R81 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R82 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R85 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R91 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R93 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R94 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R95 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R99 Old Comment=Res2 New Comment=10K
Change Component Comment : Designator=R100 Old Comment=Res2 New Comment=10K
