"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C12","TC6032_C","61.341mm","90.178mm","61.341mm","90.17mm","61.341mm","92.837mm","T","270","10uF/35V"
"C44","0805_CAP","94.539mm","92.292mm","94.539mm","92.292mm","93.649mm","92.292mm","T","0","0.1uF"
"C43","0805_CAP","94.539mm","96.903mm","94.539mm","96.903mm","93.649mm","96.903mm","T","0","0.1uF"
"C42","0805_CAP","94.539mm","87.681mm","94.539mm","87.681mm","93.649mm","87.681mm","T","0","0.1uF"
"C41","0805_CAP","94.539mm","101.514mm","94.539mm","101.514mm","93.649mm","101.514mm","T","0","0.1uF"
"C10","CE/10MM","52.553mm","88.381mm","52.553mm","90.881mm","52.553mm","90.881mm","T","270","470uF/35V"
"U3","SOT223_3","61.112mm","67.464mm","61.112mm","65.964mm","63.412mm","68.964mm","T","90","AMS1117-3.3"
"R7","0805_RES","44.094mm","71.78mm","44.094mm","71.78mm","43.204mm","71.78mm","T","0","2.2K"
"R8","0805_RES","44.044mm","74.32mm","44.044mm","74.32mm","43.154mm","74.32mm","T","0","10K"
"LED4","0805-LED-G","39.738mm","74.295mm","40.945mm","74.295mm","40.945mm","74.295mm","T","180","LED"
"LED3","0805-LED-G","39.738mm","71.755mm","40.945mm","71.755mm","40.945mm","71.755mm","T","180","LED"
"F1","X30UF600","52.68mm","97.638mm","47.777mm","97.663mm","47.777mm","97.638mm","T","360","X30_UF600"
"C16","CASE-A_3216","53.924mm","64.16mm","53.924mm","64.16mm","55.324mm","64.16mm","T","180","10uF/16V"
"C13","0805_CAP","65.176mm","91.313mm","65.176mm","91.313mm","65.176mm","90.423mm","T","90","0.1uF"
"C11","CE/10MM","52.553mm","76.138mm","52.553mm","78.638mm","52.553mm","78.638mm","T","270","470uF/35V"
"C15","0805_CAP","54.305mm","68.809mm","54.305mm","68.809mm","53.415mm","68.809mm","T","360","0.1uF"
"U8","SO16","122.971mm","56.49mm","120.371mm","60.935mm","120.371mm","60.935mm","T","360","TLP290-4"
"R32","0805_RES","94.539mm","89.986mm","94.539mm","89.986mm","93.649mm","89.986mm","T","360","10K"
"R31","0805_RES","77.978mm","86.741mm","77.978mm","86.741mm","77.088mm","86.741mm","T","360","2.2K"
"R36","0805_RES","94.539mm","94.597mm","94.539mm","94.597mm","93.649mm","94.597mm","T","0","10K"
"R35","0805_RES","77.978mm","91.343mm","77.978mm","91.343mm","77.088mm","91.343mm","T","0","2.2K"
"R25","0805_RES","114.3mm","53.442mm","114.3mm","53.442mm","113.41mm","53.442mm","T","360","330R"
"R23","0805_RES","114.3mm","55.778mm","114.3mm","55.778mm","113.41mm","55.778mm","T","360","330R"
"R26","0805_RES","137.367mm","52.053mm","137.367mm","52.053mm","138.257mm","52.053mm","T","180","10K"
"R24","0805_RES","137.367mm","56.734mm","137.367mm","56.734mm","138.257mm","56.734mm","T","180","10K"
"R21","0805_RES","114.3mm","58.115mm","114.3mm","58.115mm","113.41mm","58.115mm","T","360","330R"
"R19","0805_RES","114.3mm","60.452mm","114.3mm","60.452mm","113.41mm","60.452mm","T","360","330R"
"R22","0805_RES","130.962mm","56.686mm","130.962mm","56.686mm","131.852mm","56.686mm","T","180","10K"
"R20","0805_RES","130.962mm","61.366mm","130.962mm","61.366mm","131.852mm","61.366mm","T","180","10K"
"J12","VH3.96_3P","118.26mm","108.534mm","114.3mm","108.534mm","114.3mm","108.534mm","T","360","HEADER1X3"
"J11","VH3.96_3P","105.839mm","108.534mm","101.879mm","108.534mm","101.879mm","108.534mm","T","360","HEADER1X3"
"J7","VH3.96_2P","128.257mm","38.989mm","130.226mm","38.989mm","130.226mm","38.989mm","T","180","HEADER1X2"
"J6","VH3.96_6P","111.918mm","38.989mm","121.818mm","38.989mm","121.818mm","38.989mm","T","180","3.96mm"
"C32","0805_CAP","84.633mm","87.681mm","84.633mm","87.681mm","83.743mm","87.681mm","T","360","0.1uF"
"C34","0805_CAP","77.978mm","89.052mm","77.978mm","89.052mm","77.088mm","89.052mm","T","360","0.1uF"
"C28","0805_CAP","137.367mm","49.712mm","137.367mm","49.712mm","136.477mm","49.712mm","T","360","0.1uF"
"C27","0805_CAP","137.367mm","54.393mm","137.367mm","54.393mm","136.477mm","54.393mm","T","360","0.1uF"
"C30","0805_CAP","129.337mm","48.158mm","129.337mm","48.158mm","128.447mm","48.158mm","T","360","0.1uF"
"C26","0805_CAP","130.962mm","54.345mm","130.962mm","54.345mm","130.072mm","54.345mm","T","360","0.1uF"
"C25","0805_CAP","130.962mm","59.026mm","130.962mm","59.026mm","130.072mm","59.026mm","T","360","0.1uF"
"U5","SO16","87.207mm","96.063mm","84.607mm","100.508mm","84.607mm","100.508mm","T","0","TLP290-4"
"U7","SO16","76.546mm","53.416mm","79.146mm","48.971mm","79.146mm","48.971mm","T","180","TLP290-4"
"R30","0805_RES","94.539mm","103.82mm","94.539mm","103.82mm","93.649mm","103.82mm","T","360","10K"
"R29","0805_RES","77.978mm","100.508mm","77.978mm","100.508mm","77.088mm","100.508mm","T","0","2.2K"
"R34","0805_RES","94.539mm","99.209mm","94.539mm","99.209mm","93.649mm","99.209mm","T","0","10K"
"R33","0805_RES","77.978mm","95.926mm","77.978mm","95.926mm","77.088mm","95.926mm","T","0","2.2K"
"R17","0805_RES","84.912mm","56.871mm","84.912mm","56.871mm","85.802mm","56.871mm","T","180","330R"
"R15","0805_RES","84.963mm","54.559mm","84.963mm","54.559mm","85.853mm","54.559mm","T","180","330R"
"R18","0805_RES","67.891mm","58.725mm","67.891mm","58.725mm","67.001mm","58.725mm","T","360","10K"
"R16","0805_RES","67.891mm","54.102mm","67.891mm","54.102mm","67.001mm","54.102mm","T","360","10K"
"R13","0805_RES","84.912mm","52.197mm","84.912mm","52.197mm","85.802mm","52.197mm","T","180","330R"
"R11","0805_RES","84.861mm","49.809mm","84.861mm","49.809mm","85.751mm","49.809mm","T","180","330R"
"R14","0805_RES","62.684mm","54.61mm","62.684mm","54.61mm","61.794mm","54.61mm","T","360","10K"
"R12","0805_RES","62.684mm","49.911mm","62.684mm","49.911mm","61.794mm","49.911mm","T","360","10K"
"J10","VH3.96_3P","75.359mm","108.534mm","71.399mm","108.534mm","71.399mm","108.534mm","T","360","HEADER1X3"
"J9","VH3.96_3P","63.04mm","108.534mm","59.08mm","108.534mm","59.08mm","108.534mm","T","360","HEADER1X3"
"J5","VH3.96_2P","87.541mm","39.04mm","89.51mm","39.04mm","89.51mm","39.04mm","T","180","HEADER1X2"
"J4","VH3.96_6P","71.177mm","39.04mm","81.077mm","39.04mm","81.077mm","39.04mm","T","180","3.96mm"
"C31","0805_CAP","77.978mm","98.217mm","77.978mm","98.217mm","78.868mm","98.217mm","T","180","0.1uF"
"C33","0805_CAP","77.978mm","93.635mm","77.978mm","93.635mm","77.088mm","93.635mm","T","360","0.1uF"
"C24","0805_CAP","67.891mm","56.413mm","67.891mm","56.413mm","68.781mm","56.413mm","T","180","0.1uF"
